MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,Run_time
16,16,16,8,8,8,16,2,1,1,0,0,1,1,72.6325
16,16,16,8,8,8,16,2,1,1,0,1,0,0,114.535
16,16,16,8,8,8,16,2,1,1,0,1,0,1,71.92999999999999
16,16,16,8,8,8,16,2,1,1,0,1,1,0,83.08
16,16,16,8,8,8,16,2,1,1,0,1,1,1,72.7525
16,16,16,8,8,8,16,2,1,1,1,0,0,0,117.17
16,16,16,8,8,8,16,2,1,1,1,0,0,1,79.91749999999999
16,16,16,8,8,8,16,2,1,1,1,0,1,0,84.51499999999999
16,16,16,8,8,8,16,2,1,1,1,0,1,1,80.4275
16,16,16,8,8,8,16,2,1,1,1,1,0,0,118.405
16,16,16,8,8,8,16,2,1,1,1,1,0,1,79.82
16,16,16,8,8,8,16,2,1,1,1,1,1,0,86.505
16,16,16,8,8,8,16,2,1,1,1,1,1,1,80.50250000000001
16,16,16,8,8,8,16,2,2,1,0,0,0,0,73.28250000000001
16,16,16,8,8,8,16,2,2,1,0,0,0,1,68.1575
16,16,16,8,8,8,16,2,2,1,0,0,1,0,62.345
16,16,16,8,8,8,16,2,2,1,0,0,1,1,53.5525
16,16,16,8,8,8,16,2,2,1,0,1,0,0,75.78999999999999
16,16,16,8,8,8,16,2,2,1,0,1,0,1,67.75
16,16,16,8,8,8,16,2,2,1,0,1,1,0,64.58
16,16,16,8,8,8,16,2,2,1,0,1,1,1,57.11
16,16,16,8,8,8,16,2,2,1,1,0,0,0,73.405
16,16,16,8,8,8,16,2,2,1,1,0,0,1,65.55749999999999
16,16,16,8,8,8,16,2,2,1,1,0,1,0,62.7575
16,16,16,8,8,8,16,2,2,1,1,0,1,1,53.802499999999995
16,16,16,8,8,8,16,2,2,1,1,1,0,0,75.795
16,16,16,8,8,8,16,2,2,1,1,1,0,1,64.33999999999999
16,16,16,8,8,8,16,2,2,1,1,1,1,0,64.41
16,16,16,8,8,8,16,2,2,1,1,1,1,1,56.935
16,16,16,8,8,8,16,8,1,1,0,0,0,0,89.9075
16,16,16,8,8,8,16,8,1,1,0,0,0,1,73.865
16,16,16,8,8,8,16,8,1,1,0,0,1,0,82.1525
16,16,16,8,8,8,16,8,1,1,0,0,1,1,73.2175
16,16,16,8,8,8,16,8,1,1,0,1,0,0,90.045
16,16,16,8,8,8,16,8,1,1,0,1,0,1,75.3975
16,16,16,8,8,8,16,8,1,1,0,1,1,0,82.37
16,16,16,8,8,8,16,8,1,1,0,1,1,1,72.83
16,16,16,8,8,8,16,8,1,1,1,0,0,0,92.0275
16,16,16,8,8,8,16,8,1,1,1,0,0,1,81.7375
16,16,16,8,8,8,16,8,1,1,1,0,1,0,85.8475
16,16,16,8,8,8,16,8,1,1,1,0,1,1,80.53
16,16,16,8,8,8,16,8,1,1,1,1,0,0,95.5925
16,16,16,8,8,8,16,8,1,1,1,1,0,1,81.33
16,16,16,8,8,8,16,8,1,1,1,1,1,0,85.6475
16,16,16,8,8,8,16,8,1,1,1,1,1,1,80.57
16,16,16,8,8,8,16,8,2,1,0,0,0,0,71.9275
16,16,16,8,8,8,16,8,2,1,0,0,0,1,65.94
16,16,16,8,8,8,16,8,2,1,0,0,1,0,64.72999999999999
16,16,16,8,8,8,16,8,2,1,0,0,1,1,53.5125
16,16,16,8,8,8,16,8,2,1,0,1,0,0,71.8775
16,16,16,8,8,8,16,8,2,1,0,1,0,1,66.8
16,16,16,8,8,8,16,8,2,1,0,1,1,0,63.042500000000004
16,16,16,8,8,8,16,8,2,1,0,1,1,1,57.045
16,16,16,8,8,8,16,8,2,1,1,0,0,0,71.8925
16,16,16,8,8,8,16,8,2,1,1,0,0,1,64.845
16,16,16,8,8,8,16,8,2,1,1,0,1,0,64.3325
16,16,16,8,8,8,16,8,2,1,1,0,1,1,53.2275
16,16,16,8,8,8,16,8,2,1,1,1,0,0,71.5275
16,16,16,8,8,8,16,8,2,1,1,1,0,1,67.74
16,16,16,8,8,8,16,8,2,1,1,1,1,0,62.86750000000001
16,16,16,8,8,8,16,8,2,1,1,1,1,1,57.0075
16,16,16,8,8,16,8,2,1,1,0,0,0,0,115.87
16,16,16,8,8,16,8,2,1,1,0,0,0,1,79.195
16,16,16,8,8,16,8,2,1,1,0,0,1,0,73.025
16,16,16,8,8,16,8,2,1,1,0,0,1,1,75.83
16,16,16,8,8,16,8,2,1,1,0,1,0,0,114.69
16,16,16,8,8,16,8,2,1,1,0,1,0,1,81.9225
16,16,16,8,8,16,8,2,1,1,0,1,1,0,74.7325
16,16,16,8,8,16,8,2,1,1,0,1,1,1,83.3225
16,16,16,8,8,16,8,2,1,1,1,0,0,0,117.59750000000001
16,16,16,8,8,16,8,2,1,1,1,0,0,1,86.5975
16,16,16,8,8,16,8,2,1,1,1,0,1,0,72.795
16,16,16,8,8,16,8,2,1,1,1,0,1,1,74.36
16,16,16,8,8,16,8,2,1,1,1,1,0,0,118.0925
16,16,16,8,8,16,8,2,1,1,1,1,0,1,93.42
16,16,16,8,8,16,8,2,1,1,1,1,1,0,74.47749999999999
16,16,16,8,8,16,8,2,1,1,1,1,1,1,82.0625
16,16,16,8,8,16,8,2,1,2,0,0,0,0,77.53500000000001
16,16,16,8,8,16,8,2,1,2,0,0,0,1,65.7325
16,16,16,8,8,16,8,2,1,2,0,0,1,0,66.10499999999999
16,16,16,8,8,16,8,2,1,2,0,0,1,1,58.8775
16,16,16,8,8,16,8,2,1,2,0,1,0,0,78.11
16,16,16,8,8,16,8,2,1,2,0,1,0,1,65.7425
16,16,16,8,8,16,8,2,1,2,0,1,1,0,64.4475
16,16,16,8,8,16,8,2,1,2,0,1,1,1,58.8875
16,16,16,8,8,16,8,2,1,2,1,0,0,0,79.8625
16,16,16,8,8,16,8,2,1,2,1,0,0,1,70.295
16,16,16,8,8,16,8,2,1,2,1,0,1,0,69.45500000000001
16,16,16,8,8,16,8,2,1,2,1,0,1,1,58.06
16,16,16,8,8,16,8,2,1,2,1,1,0,0,79.77250000000001
16,16,16,8,8,16,8,2,1,2,1,1,0,1,70.6375
16,16,16,8,8,16,8,2,1,2,1,1,1,0,65.77250000000001
16,16,16,8,8,16,8,2,1,2,1,1,1,1,59.24
16,16,16,8,8,16,8,8,1,1,0,0,0,0,91.4375
16,16,16,8,8,16,8,8,1,1,0,0,0,1,81.97749999999999
16,16,16,8,8,16,8,8,1,1,0,0,1,0,75.325
16,16,16,8,8,16,8,8,1,1,0,0,1,1,77.11500000000001
16,16,16,8,8,16,8,8,1,1,0,1,0,0,91.6275
16,16,16,8,8,16,8,8,1,1,0,1,0,1,84.89500000000001
16,16,16,8,8,16,8,8,1,1,0,1,1,0,76.75
16,16,16,8,8,16,8,8,1,1,0,1,1,1,83.94250000000001
16,16,16,8,8,16,8,8,1,1,1,0,0,0,94.80000000000001
16,16,16,8,8,16,8,8,1,1,1,0,0,1,88.8275
16,16,16,8,8,16,8,8,1,1,1,0,1,0,77.27000000000001
16,16,16,8,8,16,8,8,1,1,1,0,1,1,75.4275
16,16,16,8,8,16,8,8,1,1,1,1,0,0,96.625
16,16,16,8,8,16,8,8,1,1,1,1,0,1,94.73
16,16,16,8,8,16,8,8,1,1,1,1,1,0,75.17750000000001
16,16,16,8,8,16,8,8,1,1,1,1,1,1,82.8
16,16,16,8,8,16,8,8,1,2,0,0,0,0,73.005
16,16,16,8,8,16,8,8,1,2,0,0,0,1,66.4025
16,16,16,8,8,16,8,8,1,2,0,0,1,0,66.715
16,16,16,8,8,16,8,8,1,2,0,0,1,1,58.735
16,16,16,8,8,16,8,8,1,2,0,1,0,0,73.55000000000001
16,16,16,8,8,16,8,8,1,2,0,1,0,1,66.4875
16,16,16,8,8,16,8,8,1,2,0,1,1,0,66.6475
16,16,16,8,8,16,8,8,1,2,0,1,1,1,58.464999999999996
16,16,16,8,8,16,8,8,1,2,1,0,0,0,76.01
16,16,16,8,8,16,8,8,1,2,1,0,0,1,71.08
16,16,16,8,8,16,8,8,1,2,1,0,1,0,69.785
16,16,16,8,8,16,8,8,1,2,1,0,1,1,58.662499999999994
16,16,16,8,8,16,8,8,1,2,1,1,0,0,75.80250000000001
16,16,16,8,8,16,8,8,1,2,1,1,0,1,70.52499999999999
16,16,16,8,8,16,8,8,1,2,1,1,1,0,68.465
16,16,16,8,8,16,8,8,1,2,1,1,1,1,58.8025
16,16,16,8,8,16,16,2,1,1,0,0,0,0,116.4025
16,16,16,8,8,16,16,2,1,1,0,0,0,1,72.20250000000001
16,16,16,8,8,16,16,2,1,1,0,0,1,0,72.675
16,16,16,8,8,16,16,2,1,1,0,0,1,1,66.13
16,16,16,8,8,16,16,2,1,1,0,1,0,0,114.33250000000001
16,16,16,8,8,16,16,2,1,1,0,1,0,1,72.41499999999999
16,16,16,8,8,16,16,2,1,1,0,1,1,0,74.86
16,16,16,8,8,16,16,2,1,1,0,1,1,1,67.08
16,16,16,8,8,16,16,2,1,1,1,0,0,0,117.73
16,16,16,8,8,16,16,2,1,1,1,0,0,1,79.3025
16,16,16,8,8,16,16,2,1,1,1,0,1,0,72.62
16,16,16,8,8,16,16,2,1,1,1,0,1,1,66.94749999999999
16,16,16,8,8,16,16,2,1,1,1,1,0,0,118.9725
16,16,16,8,8,16,16,2,1,1,1,1,0,1,79.42750000000001
16,16,16,8,8,16,16,2,1,1,1,1,1,0,74.5175
16,16,16,8,8,16,16,2,1,1,1,1,1,1,66.8475
16,16,16,8,8,16,16,8,1,1,0,0,0,0,89.7175
16,16,16,8,8,16,16,8,1,1,0,0,0,1,74.185
16,16,16,8,8,16,16,8,1,1,0,0,1,0,74.04750000000001
16,16,16,8,8,16,16,8,1,1,0,0,1,1,66.2675
16,16,16,8,8,16,16,8,1,1,0,1,0,0,89.77
16,16,16,8,8,16,16,8,1,1,0,1,0,1,75.4275
16,16,16,8,8,16,16,8,1,1,0,1,1,0,74.6725
16,16,16,8,8,16,16,8,1,1,0,1,1,1,66.4675
16,16,16,8,8,16,16,8,1,1,1,0,0,0,92.615
16,16,16,8,8,16,16,8,1,1,1,0,0,1,82.74000000000001
16,16,16,8,8,16,16,8,1,1,1,0,1,0,75.9525
16,16,16,8,8,16,16,8,1,1,1,0,1,1,66.49
16,16,16,8,8,16,16,8,1,1,1,1,0,0,95.605
16,16,16,8,8,16,16,8,1,1,1,1,0,1,81.89750000000001
16,16,16,8,8,16,16,8,1,1,1,1,1,0,74.95
16,16,16,8,8,16,16,8,1,1,1,1,1,1,66.6875
16,16,16,8,16,8,8,2,1,1,0,0,0,0,131.04
16,16,16,8,16,8,8,2,1,1,0,0,0,1,118.1575
16,16,16,8,16,8,8,2,1,1,0,0,1,0,94.81500000000001
16,16,16,8,16,8,8,2,1,1,0,0,1,1,93.4825
16,16,16,8,16,8,8,2,1,1,0,1,0,0,131.09
16,16,16,8,16,8,8,2,1,1,0,1,0,1,119.7875
16,16,16,8,16,8,8,2,1,1,0,1,1,0,94.8675
16,16,16,8,16,8,8,2,1,1,0,1,1,1,96.475
16,16,16,8,16,8,8,2,1,1,1,0,0,0,138.835
16,16,16,8,16,8,8,2,1,1,1,0,0,1,124.125
16,16,16,8,16,8,8,2,1,1,1,0,1,0,95.2075
16,16,16,8,16,8,8,2,1,1,1,0,1,1,96.1925
16,16,16,8,16,8,8,2,1,1,1,1,0,0,138.76500000000001
16,16,16,8,16,8,8,2,1,1,1,1,0,1,126.0775
16,16,16,8,16,8,8,2,1,1,1,1,1,0,95.2175
16,16,16,8,16,8,8,2,1,1,1,1,1,1,104.23
16,16,16,8,16,8,8,2,2,1,0,0,0,0,112.035
16,16,16,8,16,8,8,2,2,1,0,0,0,1,94.7675
16,16,16,8,16,8,8,2,2,1,0,0,1,0,70.71
16,16,16,8,16,8,8,2,2,1,0,0,1,1,68.0675
16,16,16,8,16,8,8,2,2,1,0,1,0,0,112.00999999999999
16,16,16,8,16,8,8,2,2,1,0,1,0,1,95.97749999999999
16,16,16,8,16,8,8,2,2,1,0,1,1,0,70.66499999999999
16,16,16,8,16,8,8,2,2,1,0,1,1,1,70.63
16,16,16,8,16,8,8,2,2,1,1,0,0,0,112.03
16,16,16,8,16,8,8,2,2,1,1,0,0,1,94.3225
16,16,16,8,16,8,8,2,2,1,1,0,1,0,70.69
16,16,16,8,16,8,8,2,2,1,1,0,1,1,68.055
16,16,16,8,16,8,8,2,2,1,1,1,0,0,112.1825
16,16,16,8,16,8,8,2,2,1,1,1,0,1,96.42
16,16,16,8,16,8,8,2,2,1,1,1,1,0,70.71999999999998
16,16,16,8,16,8,8,2,2,1,1,1,1,1,70.59
16,16,16,8,16,8,8,8,1,1,0,0,0,0,135.36249999999998
16,16,16,8,16,8,8,8,1,1,0,0,0,1,118.19
16,16,16,8,16,8,8,8,1,1,0,0,1,0,94.80250000000001
16,16,16,8,16,8,8,8,1,1,0,0,1,1,93.6525
16,16,16,8,16,8,8,8,1,1,0,1,0,0,135.42000000000002
16,16,16,8,16,8,8,8,1,1,0,1,0,1,119.8
16,16,16,8,16,8,8,8,1,1,0,1,1,0,94.58500000000001
16,16,16,8,16,8,8,8,1,1,0,1,1,1,96.495
16,16,16,8,16,8,8,8,1,1,1,0,0,0,140.91750000000002
16,16,16,8,16,8,8,8,1,1,1,0,0,1,124.1125
16,16,16,8,16,8,8,8,1,1,1,0,1,0,95.2025
16,16,16,8,16,8,8,8,1,1,1,0,1,1,96.2075
16,16,16,8,16,8,8,8,1,1,1,1,0,0,140.95
16,16,16,8,16,8,8,8,1,1,1,1,0,1,126.14750000000001
16,16,16,8,16,8,8,8,1,1,1,1,1,0,95.2225
16,16,16,8,16,8,8,8,1,1,1,1,1,1,104.09
16,16,16,8,16,8,8,8,2,1,0,0,0,0,109.105
16,16,16,8,16,8,8,8,2,1,0,0,0,1,94.445
16,16,16,8,16,8,8,8,2,1,0,0,1,0,69.5575
16,16,16,8,16,8,8,8,2,1,0,0,1,1,68.04750000000001
16,16,16,8,16,8,8,8,2,1,0,1,0,0,109.2275
16,16,16,8,16,8,8,8,2,1,0,1,0,1,94.4075
16,16,16,8,16,8,8,8,2,1,0,1,1,0,69.55
16,16,16,8,16,8,8,8,2,1,0,1,1,1,70.6125
16,16,16,8,16,8,8,8,2,1,1,0,0,0,109.22
16,16,16,8,16,8,8,8,2,1,1,0,0,1,94.17500000000001
16,16,16,8,16,8,8,8,2,1,1,0,1,0,69.5925
16,16,16,8,16,8,8,8,2,1,1,0,1,1,68.05
16,16,16,8,16,8,8,8,2,1,1,1,0,0,108.9075
16,16,16,8,16,8,8,8,2,1,1,1,0,1,95.53750000000001
16,16,16,8,16,8,8,8,2,1,1,1,1,0,69.57249999999999
16,16,16,8,16,8,8,8,2,1,1,1,1,1,70.6525
16,16,16,8,16,8,16,2,1,1,0,0,0,0,131.18
16,16,16,8,16,8,16,2,1,1,0,0,0,1,110.6775
16,16,16,8,16,8,16,2,1,1,0,0,1,0,94.80250000000001
16,16,16,8,16,8,16,2,1,1,0,0,1,1,85.0975
16,16,16,8,16,8,16,2,1,1,0,1,0,0,131.1325
16,16,16,8,16,8,16,2,1,1,0,1,0,1,110.665
16,16,16,8,16,8,16,2,1,1,0,1,1,0,94.845
16,16,16,8,16,8,16,2,1,1,0,1,1,1,85.10249999999999
16,16,16,8,16,8,16,2,1,1,1,0,0,0,138.84750000000003
16,16,16,8,16,8,16,2,1,1,1,0,0,1,116.96000000000001
16,16,16,8,16,8,16,2,1,1,1,0,1,0,95.28250000000001
16,16,16,8,16,8,16,2,1,1,1,0,1,1,87.96499999999999
16,16,16,8,16,8,16,2,1,1,1,1,0,0,138.88750000000002
16,16,16,8,16,8,16,2,1,1,1,1,0,1,116.9625
16,16,16,8,16,8,16,2,1,1,1,1,1,0,95.2175
16,16,16,8,16,8,16,2,1,1,1,1,1,1,87.945
16,16,16,8,16,8,16,2,2,1,0,0,0,0,112.06
16,16,16,8,16,8,16,2,2,1,0,0,0,1,87.0225
16,16,16,8,16,8,16,2,2,1,0,0,1,0,70.7
16,16,16,8,16,8,16,2,2,1,0,0,1,1,61.135000000000005
16,16,16,8,16,8,16,2,2,1,0,1,0,0,112.0625
16,16,16,8,16,8,16,2,2,1,0,1,0,1,87.02000000000001
16,16,16,8,16,8,16,2,2,1,0,1,1,0,70.7275
16,16,16,8,16,8,16,2,2,1,0,1,1,1,61.160000000000004
16,16,16,8,16,8,16,2,2,1,1,0,0,0,112.0
16,16,16,8,16,8,16,2,2,1,1,0,0,1,87.1325
16,16,16,8,16,8,16,2,2,1,1,0,1,0,70.67999999999999
16,16,16,8,16,8,16,2,2,1,1,0,1,1,61.1075
16,16,16,8,16,8,16,2,2,1,1,1,0,0,111.96000000000001
16,16,16,8,16,8,16,2,2,1,1,1,0,1,87.0925
16,16,16,8,16,8,16,2,2,1,1,1,1,0,70.715
16,16,16,8,16,8,16,2,2,1,1,1,1,1,61.0925
16,16,16,8,16,8,16,8,1,1,0,0,0,0,135.4675
16,16,16,8,16,8,16,8,1,1,0,0,0,1,110.665
16,16,16,8,16,8,16,8,1,1,0,0,1,0,94.7925
16,16,16,8,16,8,16,8,1,1,0,0,1,1,85.10249999999999
16,16,16,8,16,8,16,8,1,1,0,1,0,0,135.4375
16,16,16,8,16,8,16,8,1,1,0,1,0,1,110.67249999999999
16,16,16,8,16,8,16,8,1,1,0,1,1,0,94.89250000000001
16,16,16,8,16,8,16,8,1,1,0,1,1,1,85.11
16,16,16,8,16,8,16,8,1,1,1,0,0,0,140.9375
16,16,16,8,16,8,16,8,1,1,1,0,0,1,116.965
16,16,16,8,16,8,16,8,1,1,1,0,1,0,95.2125
16,16,16,8,16,8,16,8,1,1,1,0,1,1,87.9675
16,16,16,8,16,8,16,8,1,1,1,1,0,0,140.9325
16,16,16,8,16,8,16,8,1,1,1,1,0,1,116.92
16,16,16,8,16,8,16,8,1,1,1,1,1,0,95.19
16,16,16,8,16,8,16,8,1,1,1,1,1,1,88.04750000000001
16,16,16,8,16,8,16,8,2,1,0,0,0,0,109.155
16,16,16,8,16,8,16,8,2,1,0,0,0,1,84.38999999999999
16,16,16,8,16,8,16,8,2,1,0,0,1,0,69.565
16,16,16,8,16,8,16,8,2,1,0,0,1,1,61.144999999999996
16,16,16,8,16,8,16,8,2,1,0,1,0,0,109.1275
16,16,16,8,16,8,16,8,2,1,0,1,0,1,84.3725
16,16,16,8,16,8,16,8,2,1,0,1,1,0,69.5425
16,16,16,8,16,8,16,8,2,1,0,1,1,1,61.125
16,16,16,8,16,8,16,8,2,1,1,0,0,0,109.185
16,16,16,8,16,8,16,8,2,1,1,0,0,1,84.19
16,16,16,8,16,8,16,8,2,1,1,0,1,0,69.64999999999999
16,16,16,8,16,8,16,8,2,1,1,0,1,1,61.13
16,16,16,8,16,8,16,8,2,1,1,1,0,0,109.2175
16,16,16,8,16,8,16,8,2,1,1,1,0,1,84.18
16,16,16,8,16,8,16,8,2,1,1,1,1,0,69.6
